eta, gamma, epsilon, mds, mys, mss, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
1,1,0.1,60,25,3,0.85,0.0,1.0,14.0,tree_top,1.14285714286,1.0,1.2,14.0,tree_top,0.435897435897,0.0,1.0,3.0,tree_top,2.03225806452,1.0,2.0,14.0,off_bot
1,1,0.1,60,15,1,0.32,0.0,1.0,3.0,tree_top,0.328571428571,0.0,1.0,2.0,tree_top,0.282608695652,0.0,1.0,2.0,tree_top,0.416666666667,0.0,1.0,2.0,off_bot
1,1,0.1,60,15,2,0.58,0.0,1.0,3.0,tree_top,0.671428571429,1.0,1.0,3.0,tree_top,0.657894736842,1.0,1.0,2.0,tree_top,0.6875,0.0,1.0,3.0,tree_bot
1,1,0.1,60,15,3,0.74,0.0,1.0,7.0,tree_top,0.828571428571,0.0,1.0,7.0,tree_top,0.6,0.0,1.0,4.0,tree_top,1.05714285714,1.0,2.0,7.0,tree_bot
1,1,0.1,60,10,1,0.53,0.0,1.0,5.0,tree_top,0.628571428571,0.0,1.0,5.0,tree_top,0.820512820513,1.0,1.4,5.0,tree_top,0.387096774194,0.0,1.0,2.0,off_bot
1,1,0.1,60,10,2,0.48,0.0,1.0,2.0,tree_top,0.542857142857,0.0,1.0,2.0,tree_top,0.516129032258,1.0,1.0,1.0,tree_top,0.564102564103,0.0,1.0,2.0,off_bot
1,1,0.1,60,10,3,0.9,1.0,2.0,7.0,tree_top,1.07142857143,1.0,2.0,7.0,tree_top,0.888888888889,1.0,1.8,3.0,tree_top,1.18604651163,1.0,2.0,7.0,off_bot
1,1,0.1,50,35,1,0.51,0.0,1.0,4.0,tree_top,0.542857142857,0.0,1.0,4.0,tree_top,0.317073170732,0.0,1.0,1.0,tree_top,0.862068965517,0.0,2.0,4.0,tree_bot
1,1,0.1,50,35,2,0.64,0.0,1.0,5.0,tree_top,0.785714285714,0.0,1.0,5.0,tree_top,0.410256410256,0.0,1.0,2.0,tree_top,1.25806451613,1.0,2.0,5.0,tree_bot
1,1,0.1,50,35,3,1.08,0.0,2.0,14.0,tree_top,1.5,1.0,2.0,14.0,tree_top,0.75,1.0,1.0,3.0,tree_top,2.29411764706,1.0,3.4,14.0,off_bot
1,1,0.1,50,25,1,0.46,0.0,1.0,4.0,tree_top,0.557142857143,0.0,1.0,4.0,tree_top,0.393939393939,0.0,1.0,2.0,tree_top,0.702702702703,0.0,1.0,4.0,tree_bot
1,1,0.1,50,25,2,0.59,0.0,1.0,6.0,tree_top,0.714285714286,0.0,1.0,6.0,tree_top,0.322580645161,0.0,1.0,1.0,tree_top,1.02564102564,1.0,2.0,6.0,tree_top
1,1,0.1,50,25,3,0.66,0.0,1.0,17.0,tree_top,0.871428571429,0.0,1.0,17.0,tree_top,0.615384615385,0.0,1.0,2.0,tree_top,1.1935483871,0.0,1.0,17.0,tree_bot
1,1,0.1,50,15,1,0.36,0.0,1.0,3.0,tree_top,0.385714285714,0.0,1.0,3.0,tree_top,0.448275862069,0.0,1.0,3.0,tree_top,0.341463414634,0.0,1.0,2.0,tree_bot
1,1,0.1,50,15,2,0.55,0.0,1.0,3.0,tree_top,0.585714285714,0.0,1.0,3.0,tree_top,0.588235294118,0.0,1.0,3.0,tree_top,0.583333333333,0.0,1.0,3.0,tree_bot
1,1,0.1,50,15,3,0.54,0.0,1.0,3.0,tree_top,0.628571428571,0.0,1.0,3.0,tree_top,0.5,0.0,1.0,2.0,tree_top,0.8,0.5,1.2,3.0,off_bot
